"","","xout"
"548",1.67944444444444,35240
"549",1.68467346938776,35250
"550",1.69202040816327,35260
"551",1.69936734693878,35270
"552",1.70671428571429,35280
"553",1.7140612244898,35290
"554",1.68552631578947,35300
"555",1.6330701754386,35310
"556",1.58061403508772,35320
"557",1.52815789473684,35330
"558",1.47570175438596,35340
"559",1.42324561403509,35350
"560",1.48063265306122,35360
"561",1.55022448979592,35370
"562",1.61981632653061,35380
"563",1.68940816326531,35390
"564",1.759,35400
"565",1.82665957446808,35410
"566",1.89431914893617,35420
"567",1.96197872340426,35430
"568",2.02963829787234,35440
"569",2.1046,35450
"570",2.1966,35460
"571",2.2475,35470
"572",2.1994,35480
"573",2.1234,35490
"574",2.05886956521739,35500
"575",2.0975652173913,35510
"576",2.13626086956522,35520
"577",2.23375,35530
"578",2.3459375,35540
"579",2.458125,35550
"580",2.46494285714286,35560
"581",2.40151428571429,35570
"582",2.33808571428571,35580
"583",2.28932142857143,35590
"584",2.37253571428571,35600
"585",2.45575,35610
"586",2.50460869565217,35620
"587",2.47330434782609,35630
"588",2.442,35640
"589",2.42227777777778,35650
"590",2.40255555555556,35660
"591",2.38283333333333,35670
"592",2.35538709677419,35680
"593",2.31635483870968,35690
"594",2.27732258064516,35700
"595",2.251725,35710
"596",2.257475,35720
"597",2.263225,35730
"598",2.268975,35740
"599",2.26888888888889,35750
"600",2.25518518518519,35760
"601",2.24148148148148,35770
"602",2.254,35780
"603",2.284,35790
"604",2.314,35800
"605",2.32548148148148,35810
"606",2.30918518518519,35820
"607",2.29288888888889,35830
"608",2.3,35840
"609",2.31714285714286,35850
"610",2.33428571428571,35860
"611",2.305,35870
"612",2.27055555555556,35880
"613",2.23611111111111,35890
"614",2.21025806451613,35900
"615",2.20445161290323,35910
"616",2.19864516129032,35920
"617",2.202,35930
"618",2.242,35940
"619",2.282,35950
"620",2.30288888888889,35960
"621",2.29511111111111,35970
"622",2.28733333333333,35980
"623",2.30285,35990
"624",2.32835,36000
"625",2.35,36010
"626",2.37,36020
"627",2.39,36030
"628",2.34347826086957,36040
"629",2.2895652173913,36050
"630",2.27378571428571,36060
"631",2.28342857142857,36070
"632",2.29307142857143,36080
"633",2.33047826086956,36090
"634",2.37482608695652,36100
"635",2.38316071428571,36110
"636",2.35548214285714,36120
"637",2.32780357142857,36130
"638",2.300125,36140
"639",2.27244642857143,36150
"640",2.24476785714286,36160
"641",2.31634782608696,36170
"642",2.39895652173913,36180
"643",2.378,36190
"644",2.288,36200
"645",2.198,36210
"646",2.108,36220
"647",2.018,36230
"648",1.928,36240
"649",1.838,36250
"650",1.748,36260
"651",1.658,36270
"652",1.57941025641026,36280
"653",1.54646153846154,36290
"654",1.51351282051282,36300
"655",1.4805641025641,36310
"656",1.44761538461538,36320
"657",1.41466666666667,36330
"658",1.38171794871795,36340
"659",1.34876923076923,36350
"660",1.32974358974359,36360
"661",1.33160256410256,36370
"662",1.33346153846154,36380
"663",1.33532051282051,36390
"664",1.33717948717949,36400
"665",1.33903846153846,36410
"666",1.34089743589744,36420
"667",1.34275641025641,36430
"668",1.34461538461538,36440
"669",1.34647435897436,36450
"670",1.34833333333333,36460
"671",1.35019230769231,36470
"672",1.35205128205128,36480
"673",1.35391025641026,36490
"674",1.35576923076923,36500
"675",1.35762820512821,36510
"676",1.36682352941176,36520
"677",1.37785294117647,36530
"678",1.38888235294118,36540
"679",1.39991176470588,36550
"680",1.41094117647059,36560
"681",1.42197058823529,36570
"682",1.433,36580
"683",1.44402941176471,36590
"684",1.45505882352941,36600
"685",1.46608823529412,36610
"686",1.47711764705882,36620
"687",1.48814705882353,36630
"688",1.49917647058824,36640
"689",1.50928865979381,36650
"690",1.51573195876289,36660
"691",1.52217525773196,36670
"692",1.52861855670103,36680
"693",1.5350618556701,36690
"694",1.54150515463918,36700
"695",1.54794845360825,36710
"696",1.55439175257732,36720
"697",1.56083505154639,36730
"698",1.56727835051546,36740
"699",1.57372164948454,36750
"700",1.58016494845361,36760
"701",1.58660824742268,36770
"702",1.59305154639175,36780
"703",1.59949484536082,36790
"704",1.6059381443299,36800
"705",1.61238144329897,36810
"706",1.61882474226804,36820
"707",1.62526804123711,36830
"708",1.63171134020619,36840
"709",1.61324489795918,36850
"710",1.58855102040816,36860
"711",1.56385714285714,36870
"712",1.53916326530612,36880
"713",1.5144693877551,36890
"714",1.48977551020408,36900
"715",1.46508163265306,36910
"716",1.44038775510204,36920
"717",1.41569387755102,36930
"718",1.391,36940
"719",1.39482352941176,36950
"720",1.39864705882353,36960
"721",1.40247058823529,36970
"722",1.40629411764706,36980
"723",1.41011764705882,36990
"724",1.41394117647059,37000
"725",1.41776470588235,37010
"726",1.42158823529412,37020
"727",1.42541176470588,37030
"728",1.42923529411765,37040
"729",1.43305882352941,37050
"730",1.43688235294118,37060
"731",1.44070588235294,37070
"732",1.45458823529412,37080
"733",1.48355882352941,37090
"734",1.51252941176471,37100
"735",1.5415,37110
"736",1.57047058823529,37120
"737",1.59944117647059,37130
"738",1.62841176470588,37140
"739",1.65738235294118,37150
"740",1.68635294117647,37160
"741",1.71532352941176,37170
"742",1.74429411764706,37180
"743",1.77326470588235,37190
"744",1.80223529411765,37200
"745",1.83120588235294,37210
"746",1.82223076923077,37220
"747",1.80376923076923,37230
"748",1.78530769230769,37240
"749",1.76684615384615,37250
"750",1.74838461538462,37260
"751",1.72992307692308,37270
"752",1.71146153846154,37280
"753",1.693,37290
"754",1.70147457627119,37300
"755",1.70994915254237,37310
"756",1.71842372881356,37320
"757",1.72689830508475,37330
"758",1.73537288135593,37340
"759",1.74398275862069,37350
"760",1.75381034482759,37360
"761",1.76363793103448,37370
"762",1.77346551724138,37380
"763",1.78329310344828,37390
"764",1.79312068965517,37400
"765",1.80294827586207,37410
"766",1.81277586206897,37420
"767",1.82260344827586,37430
"768",1.83243103448276,37440
"769",1.84225862068966,37450
"770",1.85208620689655,37460
"771",1.7745,37470
