Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats	Old IDs	order	genus	species	element
LACMP23-31651	NSF-17-151	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31652	NSF-17-152	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31653	NSF-17-153	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31654	NSF-17-154	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31655	NSF-17-155	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31656	NSF-17-156	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31657	NSF-17-157	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31658	NSF-17-158	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31659	NSF-17-159	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31660	NSF-17-160	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31661	NSF-17-161	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31662	NSF-17-162	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31663	NSF-17-163	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31664	NSF-17-164	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3			y					
LACMP23-31665	NSF-17-165	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial upper lt M2			y					
LACMP23-31666	NSF-17-166	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M1			y					
LACMP23-31667	NSF-17-167	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower lt m1		5/17/2020	y					
LACMP23-31668	NSF-17-168	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower lt m2			y					
LACMP23-31669	NSF-17-169	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial upper rt M2			y					
LACMP23-31670	NSF-17-170	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y					
LACMP23-31671	NSF-17-171	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial lower rt m2			y					
LACMP23-31672	NSF-17-172	C3/L5	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y					
LACMP23-31673	NSF-17-173	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	rt dentary frag	juv?		y					
LACMP23-31674	NSF-17-174	C3/L5	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt P2			y					
LACMP23-31675	NSF-17-175	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y					
LACMP23-31676	NSF-17-176	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag	juv		y					
LACMP23-31677	NSF-17-177	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y					
LACMP23-31678	NSF-17-178	C3/L5	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y					
